Name,PSNR_RGB,PSNR_Y,SSIM_RGB,SSIM_Y
01_ConvNeXtBlock_MaxPool2D_ConvTranspose2D,21.461678098590262,21.6249027587554,0.6140538852565631,0.6253657979256021
01_ConvNeXtBlockV2_MaxPool2D_ConvTranspose2D,21.426804862384454,21.602052024123864,0.6131548743988715,0.6248705185610962
01_EDSRBlock_MaxPool2D_ConvTranspose2D,21.375806853092307,21.566609893812995,0.6099754237929915,0.6210974252886253
01_ResNetBlockV2_BatchNorm_MaxPool2D_ConvTranspose2D,21.484425678743136,21.687438394487348,0.6140311501271186,0.6259210659959604
01_ResNetBlockV2_LayerNorm_MaxPool2D_ConvTranspose2D,21.38365746706175,21.574807966600606,0.6117753460141881,0.6231665444790457
02_ConvNeXtBlock_Conv2D_ConvTranspose2D,21.402846475630362,21.55858927313195,0.6109134675907862,0.6221518651328821
02_ResNetBlockV2_Conv2D_ConvTranspose2D,21.475488311745913,21.668155127799892,0.6138804103615322,0.6257617790985961
03_ConvNeXtBlock_Conv2D_PixelShuffle,21.474959762094112,21.666294909551812,0.6137969820918202,0.6250823171125288
03_ConvNeXtBlock_MaxPool2D_PixelShuffle,21.485301639066925,21.671241434624747,0.6133987681400755,0.6251798059956287
03_ResNetBlockV2_Conv2D_PixelShuffle,21.447498703909524,21.645434103958678,0.6137747530248643,0.6253308456840962
03_ResNetBlockV2_MaxPool2D_PixelShuffle,21.461163863799936,21.66227171641992,0.6132883730004218,0.6256677130672343
04_ConvNeXtBlock_ChannelAttention,21.493678491178272,21.71277831092158,0.6140926305669534,0.6258818004749888
04_ResNetBlockV2_ChannelAttention,21.50009884298332,21.71221535566354,0.6150729171325574,0.626989345004581
05_ConvNeXtBlock_AttentionGate,21.493097520253293,21.683007042240295,0.61363014440286,0.6252507536615697
05_ResNetBlockV2_AttentionGate,21.483398464225377,21.69773589705754,0.6134543900083101,0.6254428133211669
06_ConvNeXtBlock_ChannelAttention_AttentionGate,21.43884973897888,21.666061062087447,0.6115084036517515,0.6235615961883476
06_ResNetBlockV2_ChannelAttention_AttentionGate,21.444419387670727,21.687337390193882,0.612066007359973,0.6239141940668212
07_ConvNeXtBlock_T1,21.470995033754953,21.703886509083304,0.613078362878596,0.6248142374288038
07_ConvNeXtBlock_T2,21.477222026408317,21.7167663550404,0.614557032352337,0.6259448866340896
07_ResNetBlockV2_T1,21.11427013247229,21.352256121200888,0.6047261292790419,0.6180717069948439
07_ResNetBlockV2_T2,21.477031030519086,21.700558717900147,0.6138887722638104,0.6261903566902267
08_ConvNeXtBlock_OrigInterp,21.50817946722998,21.668538196392902,0.6143876915074602,0.6257587809813054
08_ResNetBlockV2_OrigInterp,21.495388290964396,21.718032286467746,0.6132073529110583,0.6248108863692882
09_ConvNeXtBlock_L1_FFT,,,,
09_ConvNeXtBlock_L1_SSIM,,,,
09_ConvNeXtBlock_L1_MGE,,,,
09_ConvNeXtBlock_L1_SSIM_MGE_FFT,,,,
09_ResNetBlockV2_L1_FFT,,,,
09_ResNetBlockV2_L1_MGE,,,,
09_ResNetBlockV2_L1_SSIM,,,,
09_ResNetBlockV2_L1_SSIM_MGE_FFT,,,,
